batteryLevel,localTime,modelName,onWrist,hasRecentHeartRate,prediction,predictionScore,timestamp,deviceID,userID,version
69,7/22/25 18:11,Yeti,TRUE,,1,0.97143674,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:12,Yeti,TRUE,,1,0.973105,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:13,Yeti,TRUE,,1,0.956253,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:14,Yeti,TRUE,,1,0.99291635,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:15,Yeti,TRUE,,1,0.9917285,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:16,Yeti,TRUE,,1,0.85342187,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:17,Yeti,TRUE,,1,0.80199885,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:18,Yeti,TRUE,,1,0.9850277,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:19,Yeti,TRUE,,0,0.001066576,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
69,7/22/25 18:20,Yeti,TRUE,,0,0.000550311,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:21,Yeti,TRUE,,0,0.000493338,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:22,Yeti,TRUE,,0,0.000755811,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:23,Yeti,TRUE,,0,0.000374219,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:24,Yeti,TRUE,,1,0.97447395,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:25,Yeti,TRUE,,1,0.9519317,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
68,7/22/25 18:26,Yeti,TRUE,,1,0.90374947,1.75322E+12,ea5d034b02b45c37,AD,1.7.10-amb
